country,increased,total,cure,dead
中国,133,93889,87708,4751
美国,203427,14313941,8462347,279865
印度,35551,9534964,8973373,138648
巴西,49863,6436650,5759294,174515
俄罗斯,27829,2354934,1843526,41173
法国,14064,2275520,167915,52821
西班牙,9331,1682533,196958,45784
英国,16236,1663471,3621,59796
意大利,20709,1641610,823335,57045
阿根廷,7533,1440103,1268358,39156
哥伦比亚,9297,1334089,1225635,37117
墨西哥,11251,1133613,836567,107565
德国,21135,1117953,795216,17718
波兰,14863,1028610,646560,18828
伊朗,13922,1003494,699315,49348
秘鲁,1075,963605,899213,35966
南非,4173,796472,734305,21709
乌克兰,14812,793372,400751,13394
土耳其,31923,700880,414141,14129
比利时,3040,582252,33687,16911
伊拉克,4000,558767,487863,12361
印度尼西亚,8369,557877,462553,17355
智利,1034,553898,529501,15438
荷兰,5816,546866,7070,9645
捷克,4568,533042,461599,8515
罗马尼亚,7661,492211,381001,11876
孟加拉,2316,471739,388379,6748
菲律宾,1056,435413,399325,8446
巴基斯坦,3499,406810,346951,8205
加拿大,6413,393506,314529,12342
摩洛哥,4346,364190,314237,5985
沙特阿拉伯,230,358102,347881,5930
以色列,1676,340424,325874,2890
瑞士,4455,340115,257600,5142
葡萄牙,3384,303846,223446,4645
奥地利,3969,293430,238127,3538
瑞典,6485,272643,4917,7007
尼泊尔,1343,237589,220272,1551
匈牙利,6635,231844,67033,5324
约旦,3591,227208,168429,2854
塞尔维亚,7802,199158,15913,1765
厄瓜多尔,1203,194876,169804,13562
哈萨克斯坦,777,176342,148732,2436
阿联酋,1317,172751,157035,585
巴拿马,2028,169339,146576,3114
日本,2516,155919,129085,2174
保加利亚,3138,151913,55206,4347
格鲁吉亚,4260,147636,124568,1387
多米尼加,895,145197,115611,2334
玻利维亚,184,144994,123673,8972
科威特,314,143574,138674,884
白俄罗斯,1701,141609,118924,1181
哥斯达黎加,1168,141340,88226,1739
卡塔尔,221,139477,136741,239
克罗地亚,4534,139415,113509,1964
亚美尼亚,1277,138508,113228,2254
阿塞拜疆,4189,133733,81234,1510
黎巴嫩,1842,131297,83034,1055
阿曼,184,124329,115866,1435
危地马拉,1398,123460,112181,4191
埃及,421,116724,102949,6694
斯洛伐克,1982,111208,74273,930
埃塞俄比亚,430,110984,76067,1715
摩尔多瓦,1717,110580,96711,2343
希腊,2185,109655,23074,2606
洪都拉斯,891,109144,48877,2930
委内瑞拉,446,103067,98030,905
突尼斯,1208,99280,73607,3359
缅甸,1411,93600,73748,2028
巴勒斯坦,2516,92708,68250,780
