country,increased,total,cure,dead
中国,90,94927,88535,4755
美国,246530,16295458,9507419,302750
印度,30006,9826775,9324328,142628
巴西,54428,6836227,6078287,180437
俄罗斯,27729,2602048,2066710,45923
法国,13567,2405210,181581,57671
英国,21785,1814397,3805,63603
意大利,18726,1805873,1052163,63387
西班牙,7053,1741439,196958,47624
阿根廷,7112,1489328,1324792,40606
哥伦比亚,8998,1408909,1304299,38669
德国,27217,1314309,966238,21620
墨西哥,12253,1229379,904042,113019
波兰,11499,1126700,840541,22676
伊朗,8411,1100818,800853,51949
秘鲁,1832,980943,916249,36544
土耳其,32106,955766,452593,15751
乌克兰,13219,908839,513249,15528
南非,8319,845083,758373,22952
荷兰,9224,613535,7752,10104
印度尼西亚,6388,611631,501376,18653
比利时,2762,603159,33687,17792
捷克,6217,575422,503017,9450
伊拉克,1022,573622,505669,12565
智利,1807,569781,543086,15846
罗马尼亚,6333,551900,451477,13264
孟加拉,1329,489178,417503,7020
加拿大,6092,452543,367837,13267
菲律宾,1292,448331,409433,8730
巴基斯坦,2729,435056,381208,8724
摩洛哥,3035,394564,349821,6542
瑞士,5136,373831,291500,5970
沙特阿拉伯,166,359749,350347,6036
以色列,1690,353269,333900,2969
葡萄牙,8214,340287,263648,5373
瑞典,7370,320098,4917,7514
奥地利,3241,319822,277883,4415
匈牙利,5047,276247,79769,6784
塞尔维亚,6534,255758,15913,2275
约旦,2338,255459,209746,3286
尼泊尔,899,247593,234231,1689
厄瓜多尔,386,200765,174188,13858
巴拿马,2355,187779,159070,3309
格鲁吉亚,3907,187006,154241,1744
哈萨克斯坦,927,184557,156093,2551
阿联酋,1154,183755,163048,609
日本,3037,178207,147368,2462
保加利亚,3097,177665,79522,5562
克罗地亚,4135,172523,144691,2562
阿塞拜疆,4268,171423,107635,1883
白俄罗斯,1975,158334,135922,1254
多米尼加,731,152452,118877,2359
哥斯达黎加,1132,150947,112622,1895
亚美尼亚,995,147312,124521,2462
玻利维亚,312,146697,125886,9013
科威特,294,145789,141569,910
黎巴嫩,1518,143705,97647,1182
卡塔尔,147,140827,138347,240
危地马拉,755,128541,117013,4376
斯洛伐克,2166,127087,93533,1122
阿曼,0,125669,117327,1463
摩尔多瓦,1579,124264,106471,2521
希腊,1395,122648,23074,3472
埃及,464,120611,104499,6877
埃塞俄比亚,422,115782,91209,1791
洪都拉斯,501,113708,51244,2971
突尼斯,1290,109104,83162,3801
巴勒斯坦,1477,108099,83123,961
缅甸,1352,107215,85406,2245
委内瑞拉,435,106715,101823,944
丹麦,5,104108,77451,927
波黑,940,99543,63733,3250
斯洛文尼亚,1747,95481,72290,2041
巴拉圭,1155,92113,65176,1927
阿尔及利亚,542,91121,59590,2575
肯尼亚,673,90978,71579,1582
立陶宛,3303,90252,38768,791
利比亚,697,89880,59839,1278
巴林,188,88820,86867,347
马来西亚,1937,82246,68084,411
吉尔吉斯斯坦,341,77059,69794,1307
爱尔兰,304,75507,23364,2120
乌兹别克斯坦,147,74811,72084,612
尼日利亚,796,72140,65722,1190
北马其顿,1161,72044,48170,2077
新加坡,8,58313,58192,29
加纳,0,52738,51518,326
阿富汗,113,48229,38200,1956
阿尔巴尼亚,802,46863,24136,977
韩国,950,41736,31493,578
萨尔瓦多,422,41163,37471,1193
卢森堡,718,40755,31678,392
黑山,381,40546,29462,569
挪威,245,40439,17998,387
斯里兰卡,858,32007,23304,147
芬兰,377,30450,20000,453
澳大利亚,13,28025,25671,908
乌干达,639,26369,9646,220
喀麦隆,124,25087,23851,443
拉脱维亚,660,25046,1866,324
科特迪瓦,28,21618,21234,133
苏丹,376,20844,11855,1340
赞比亚,56,18217,17339,366
爱沙尼亚,757,17713,10626,148
马达加斯加,114,17587,16992,259
塞内加尔,168,17061,16059,349
莫桑比克,159,16680,14793,139
纳米比亚,496,16269,14582,160
安哥拉,136,16061,8798,365
刚果（金）,173,14342,12465,352
塞浦路斯,363,13649,2057,70
几内亚,30,13398,12626,79
马尔代夫,18,13326,12640,48
塔吉克斯坦,36,12624,12050,89
博茨瓦纳,443,12501,9940,37
牙买加,140,11509,7667,270
佛得角,59,11262,10894,110
津巴布韦,81,11162,9324,306
马耳他,121,11101,9079,166
毛里塔尼亚,233,10501,7957,210
海地,31,9465,8214,233
加蓬,30,9330,9182,63
古巴,86,9267,8290,136
伯利兹,160,8965,4219,185
叙利亚,124,8911,4243,491
乌拉圭,362,8849,5941,90
巴哈马,38,7623,6043,163
安道尔,46,7236,6598,78
特立尼达和多巴哥,19,6852,6103,122
斯威士兰,52,6685,6279,126
卢旺达,79,6428,5826,54
马拉维,2,6055,5490,186
刚果（布）,0,6049,4988,99
尼加拉瓜,0,5887,4225,162
圭亚那,28,5839,4944,154
吉布提,8,5725,5612,61
马里,73,5649,3537,185
冰岛,13,5552,5346,28
苏里南,2,5339,5220,117
赤道几内亚,2,5185,5058,85
中非共和国,9,4936,1924,63
索马里,0,4579,3529,121
泰国,12,4192,3915,60
冈比亚,3,3779,3645,123
布基纳法索,110,3579,2792,69
多哥,20,3202,2726,66
贝宁,0,3090,2972,44
几内亚比绍,0,2444,2337,44
塞拉利昂,3,2438,1850,75
莱索托,36,2250,1319,44
尼日尔,34,2160,1269,80
新西兰,4,2092,2010,25
也门,1,2082,1383,606
圣马力诺,24,1932,1575,51
乍得,6,1745,1595,102
利比里亚,0,1676,1358,83
列支敦士登公国,16,1482,1296,20
越南,4,1395,1238,35
蒙古,1,906,384,0
布隆迪,2,723,640,1
巴布亚新几内亚,36,720,601,8
钻石号邮轮,0,712,699,13
摩纳哥,2,659,594,3
厄立特里亚,0,656,525,0
科摩罗,0,617,605,7
毛里求斯,0,515,478,10
坦桑尼亚,0,509,183,21
不丹,2,436,396,0
柬埔寨,1,357,307,0
巴巴多斯,1,292,269,7
圣卢西亚,4,274,186,4
塞舌尔,3,187,182,0
文莱,0,152,147,3
安提瓜和巴布达,1,147,138,4
圣文森特和格林纳丁斯,3,94,81,0
多米尼克,2,87,76,0
斐济,0,44,35,2
格林纳达,0,43,41,0
老挝,0,41,33,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,1,27,23,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
