country,increased,total,cure,dead
中国,117,93664,87607,4750
美国,161568,13919870,8222879,274332
印度,31118,9462809,8889585,137621
巴西,21138,6335878,5597802,173120
俄罗斯,26046,2275936,1763493,39491
法国,4443,2275016,167913,52819
西班牙,6659,1664945,196958,45069
英国,12420,1633733,3570,58545
意大利,16376,1601554,757507,55576
阿根廷,5726,1424533,1257227,38730
哥伦比亚,8430,1316806,1210489,36766
墨西哥,6472,1113543,823586,105940
德国,6894,1069912,749219,16694
波兰,5736,990811,577514,17150
秘鲁,2162,962530,893061,35923
伊朗,13321,962070,668151,48246
南非,2302,790004,731242,21535
乌克兰,10238,752343,360360,12731
土耳其,31219,638847,404727,13746
比利时,746,577345,0,16645
伊拉克,2114,552549,482674,12258
智利,1313,551743,526604,15410
印度尼西亚,4617,538883,450518,16945
荷兰,26,531930,6947,9453
捷克,3575,523298,451607,8295
罗马尼亚,3826,475362,353188,11331
孟加拉,2525,464932,380711,6644
菲律宾,1766,431630,398658,8392
巴基斯坦,2458,400482,343286,8091
加拿大,7457,381557,304595,12147
沙特阿拉伯,232,357360,346802,5896
摩洛哥,2533,356336,305291,5846
以色列,686,336846,323749,2865
瑞士,8782,327072,250200,4815
葡萄牙,3262,298061,212942,4505
奥地利,2748,282456,221692,3184
瑞典,0,243129,4917,6681
尼泊尔,1474,233452,214521,1508
约旦,8721,219430,155026,2751
匈牙利,5595,217122,63860,4823
厄瓜多尔,568,192685,169804,13461
塞尔维亚,6224,175438,15913,1604
阿联酋,1107,168860,154899,572
巴拿马,1077,165806,144462,3079
日本,17,148962,127289,2076
保加利亚,2814,145300,50565,4035
玻利维亚,86,144708,121702,8957
多米尼加,515,143988,115219,2331
科威特,209,142635,137071,880
哥斯达黎加,2545,139638,87526,1726
卡塔尔,185,138833,136090,237
白俄罗斯,1639,136647,114341,1158
格鲁吉亚,3216,135584,113986,1267
亚美尼亚,356,135124,108442,2164
哈萨克斯坦,689,132348,116863,1990
克罗地亚,1830,128442,105199,1786
黎巴嫩,1000,127944,83034,1018
阿曼,215,123699,115216,1423
危地马拉,264,122062,110944,4171
阿塞拜疆,1959,121176,74902,1392
埃及,370,115911,102718,6650
埃塞俄比亚,540,110074,73808,1706
洪都拉斯,365,108253,48073,2918
摩尔多瓦,347,107364,95354,2304
斯洛伐克,196,105929,66041,839
希腊,1044,105271,23074,2406
委内瑞拉,354,102394,97326,897
突尼斯,518,96769,70851,3260
缅甸,1227,90713,70156,1941
波黑,527,87901,52769,2681
巴林,169,86956,85141,341
巴勒斯坦,2062,85647,64987,732
肯尼亚,302,83618,55344,1469
阿尔及利亚,978,83199,53809,2431
利比亚,379,82809,53818,1183
巴拉圭,518,82424,58453,1756
丹麦,1130,81002,64031,837
斯洛文尼亚,8,75814,54138,1435
吉尔吉斯斯坦,371,73178,64711,1275
乌兹别克斯坦,174,73094,70337,610
爱尔兰,303,72544,23364,2053
尼日利亚,145,67557,63282,1173
马来西亚,1212,65697,54759,360
北马其顿,335,61878,38946,1763
立陶宛,1132,61325,14211,506
新加坡,5,58218,58134,29
加纳,191,51667,50547,323
阿富汗,283,46498,36788,1774
萨尔瓦多,0,38405,35078,1114
阿尔巴尼亚,557,38182,18849,810
挪威,179,36150,17998,332
黑山,384,35265,24131,499
卢森堡,1269,34678,26086,321
韩国,451,34652,27885,526
澳大利亚,8,27912,25602,908
芬兰,283,24912,16800,399
喀麦隆,328,24445,22177,437
斯里兰卡,325,23987,17560,118
科特迪瓦,21,21331,20964,132
乌干达,314,20459,8989,205
苏丹,406,17810,10302,1249
赞比亚,39,17647,16998,357
马达加斯加,0,17341,16657,251
拉脱维亚,100,17075,1795,206
