country,increased,total,cure,dead
丹麦,6197,110305,81088,950
缅甸,1127,108342,86795,2268
委内瑞拉,609,107786,102289,954
波黑,1574,101117,65758,3336
斯洛文尼亚,431,96745,73760,2107
立陶宛,1920,95021,38957,825
巴拉圭,669,93582,66543,1953
阿尔及利亚,464,92102,60457,2596
肯尼亚,366,91892,73028,1587
利比亚,578,91357,61453,1314
巴林,178,89143,87182,348
马来西亚,1371,84846,70597,419
吉尔吉斯斯坦,318,77674,70450,1312
爱尔兰,429,76185,23364,2124
乌兹别克斯坦,138,75094,72368,612
北马其顿,613,73638,49414,2121
尼日利亚,418,73175,66090,1197
新加坡,5,58325,58208,29
加纳,81,53014,51761,327
阿富汗,191,48718,38252,1969
阿尔巴尼亚,788,48530,24820,1003
韩国,718,43484,32102,587
萨尔瓦多,486,41880,38087,1205
黑山,478,41426,30493,582
挪威,200,41003,17998,387
卢森堡,0,40755,31678,392
斯里兰卡,140,32790,24309,152
芬兰,300,31110,20000,461
澳大利亚,8,28039,25684,908
乌干达,1163,27532,9826,221
拉脱维亚,210,25885,16869,352
喀麦隆,56,25143,23851,443
科特迪瓦,41,21680,21298,133
苏丹,239,21386,12313,1347
爱沙尼亚,330,18385,11121,154
赞比亚,48,18322,17409,367
马达加斯加,0,17587,16992,259
塞内加尔,71,17146,16159,350
莫桑比克,142,16954,14818,142
纳米比亚,267,16536,14684,160
安哥拉,27,16188,8898,371
塞浦路斯,301,15101,2057,78
刚果（金）,119,14461,12465,352
几内亚,11,13431,12667,79
马尔代夫,20,13368,12706,48
塔吉克斯坦,80,12704,12172,88
博茨瓦纳,0,12501,9940,37
牙买加,201,11710,7954,273
佛得角,55,11357,10962,110
马耳他,101,11254,9319,174
津巴布韦,27,11246,9451,307
毛里塔尼亚,191,10971,8076,225
乌拉圭,528,9708,6358,92
海地,26,9491,8241,233
古巴,69,9423,8434,137
加蓬,0,9330,9182,63
伯利兹,122,9295,4321,195
叙利亚,125,9166,4376,518
巴哈马,15,7674,6070,163
安道尔,50,7338,6629,79
特立尼达和多巴哥,15,6879,6145,122
斯威士兰,54,6768,6379,127
卢旺达,131,6659,5955,56
马拉维,3,6066,5491,187
刚果（布）,0,6049,4988,99
圭亚那,41,5920,5073,155
尼加拉瓜,0,5887,4225,162
马里,93,5814,3591,194
吉布提,3,5728,5618,61
冰岛,7,5564,5392,28
苏里南,13,5353,5224,117
赤道几内亚,0,5185,5058,85
中非共和国,0,4936,1924,63
索马里,0,4579,3529,121
泰国,28,4237,3940,60
布基纳法索,136,4030,2910,71
冈比亚,3,3782,3647,123
多哥,30,3251,2771,66
贝宁,0,3090,2972,44
几内亚比绍,0,2444,2337,44
塞拉利昂,2,2440,1850,75
尼日尔,59,2258,1292,80
莱索托,0,2250,1319,44
新西兰,4,2096,2015,25
也门,1,2083,1383,606
圣马力诺,0,1932,1575,51
乍得,19,1770,1607,102
利比里亚,0,1676,1358,83
列支敦士登公国,52,1566,1351,20
越南,5,1402,1246,35
蒙古,5,912,384,0
布隆迪,1,729,640,1
巴布亚新几内亚,5,725,601,8
钻石号邮轮,0,712,699,13
厄立特里亚,55,711,564,0
摩纳哥,9,668,597,3
科摩罗,11,628,606,7
毛里求斯,0,515,478,10
坦桑尼亚,0,509,183,21
不丹,1,438,403,0
柬埔寨,2,359,309,0
巴巴多斯,0,292,269,7
圣卢西亚,1,275,203,4
塞舌尔,0,187,182,0
文莱,0,152,147,3
安提瓜和巴布达,1,148,138,5
圣文森特和格林纳丁斯,4,98,81,0
多米尼克,1,88,83,0
格林纳达,26,69,41,0
斐济,2,46,38,2
老挝,0,41,34,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
圣基茨和尼维斯,0,27,23,0
梵蒂冈,0,27,15,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
