country,increased,total,cure,dead
中国,17,95167,88730,4761
美国,198647,16942822,9871663,308089
印度,22065,9906165,9422636,143709
巴西,25193,6927145,6158049,181835
俄罗斯,26265,2682866,2129806,47410
法国,3247,2433859,183340,58391
英国,20377,1874867,4048,64500
土耳其,29617,1866345,1631944,16646
意大利,12025,1855737,1115617,65011
西班牙,7967,1762036,196958,48013
阿根廷,5062,1503222,1340120,41041
哥伦比亚,8742,1434516,1321469,39195
德国,8437,1359247,1012077,22637
墨西哥,5930,1255974,927754,114298
波兰,4896,1140572,879748,22960
伊朗,7501,1115770,823231,52447
秘鲁,4030,984973,918352,36677
乌克兰,8840,934161,542672,16038
南非,5163,866127,762746,23451
荷兰,61,632085,7944,10168
印度尼西亚,6120,629429,516656,19111
比利时,1074,609211,33687,18054
捷克,5172,586251,511798,9743
伊拉克,1338,575972,509474,12603
智利,1911,573830,546538,15931
罗马尼亚,3252,559587,460780,13494
孟加拉,1799,492332,423845,7089
加拿大,7617,472820,385021,13570
菲律宾,1106,451839,418867,8812
巴基斯坦,2459,443246,386333,8905
摩洛哥,1217,400826,359065,6659
瑞士,10726,384557,308300,6154
以色列,2004,360297,338642,3014
沙特阿拉伯,125,360013,350792,6059
葡萄牙,2194,350938,274277,5649
奥地利,2588,325051,284174,4530
瑞典,0,320098,4917,7514
匈牙利,1893,285763,83115,7237
塞尔维亚,4932,271364,15913,2380
约旦,2863,262477,222654,3407
尼泊尔,821,249244,236573,1716
厄瓜多尔,70,202180,177951,13875
格鲁吉亚,3837,194900,164786,1883
巴拿马,1612,194619,163334,3382
哈萨克斯坦,683,186960,158705,2554
阿联酋,2286,186041,164349,618
日本,1729,184007,150791,2556
保加利亚,2095,181544,85578,5838
阿塞拜疆,3112,178986,114841,1966
克罗地亚,1472,177358,151884,2705
白俄罗斯,1853,162148,139785,1273
多米尼加,492,155184,121007,2364
哥斯达黎加,2222,153169,118511,1936
亚美尼亚,438,149120,127452,2529
黎巴嫩,1093,147613,103057,1210
玻利维亚,195,147345,126439,9024
科威特,231,146449,142357,912
卡塔尔,160,141121,138719,241
斯洛伐克,2034,135523,100303,1251
危地马拉,123,129405,118217,4445
摩尔多瓦,735,127253,110179,2598
阿曼,215,126719,118505,1475
希腊,639,125173,23074,3687
埃及,511,122086,105132,6943
埃塞俄比亚,473,117242,95225,1809
洪都拉斯,283,114642,51688,2989
丹麦,3337,113642,81088,950
突尼斯,968,111361,84741,3894
巴勒斯坦,1364,111102,87057,1000
缅甸,1170,109512,88131,2292
委内瑞拉,339,108125,103037,960
波黑,344,101461,66486,3391
斯洛文尼亚,431,96745,73760,2107
立陶宛,1431,96452,41665,863
巴拉圭,641,94223,67242,1971
阿尔及利亚,495,92597,60888,2609
肯尼亚,163,92055,73452,1593
利比亚,578,91357,61453,1314
巴林,125,89268,87332,348
马来西亚,1371,84846,70597,419
吉尔吉斯斯坦,236,77910,70867,1316
爱尔兰,264,76449,23364,2126
乌兹别克斯坦,147,75241,72522,612
北马其顿,213,73851,50046,2147
尼日利亚,199,73374,66314,1197
新加坡,16,58341,58210,29
加纳,81,53014,51761,327
阿尔巴尼亚,661,49191,24820,1016
阿富汗,234,48952,38336,1995
韩国,880,44364,32559,600
萨尔瓦多,252,42132,38260,1212
卢森堡,1145,41900,33367,410
黑山,377,41803,31138,585
挪威,331,41334,17998,393
斯里兰卡,332,33478,24309,154
芬兰,300,31110,20000,461
澳大利亚,9,28048,25689,908
乌干达,234,27766,9921,224
拉脱维亚,210,25885,16869,352
喀麦隆,71,25214,23851,443
科特迪瓦,25,21705,21318,133
苏丹,205,21591,12452,1355
爱沙尼亚,297,18682,11669,157
赞比亚,48,18322,17409,367
马达加斯加,0,17587,16992,259
塞内加尔,71,17146,16159,350
莫桑比克,48,17002,15006,143
纳米比亚,457,16726,14837,163
安哥拉,89,16277,8924,372
塞浦路斯,349,15450,2057,82
刚果（金）,52,14513,12653,356
几内亚,26,13457,12713,80
马尔代夫,11,13379,12731,48
博茨瓦纳,372,12873,10456,38
塔吉克斯坦,37,12741,12172,88
牙买加,82,11792,8098,273
佛得角,4,11361,11036,110
津巴布韦,112,11358,9554,309
马耳他,101,11254,9319,174
毛里塔尼亚,164,11135,8118,228
乌拉圭,321,10029,6593,95
海地,97,9588,8280,234
古巴,69,9492,8484,137
伯利兹,82,9377,4414,197
加蓬,21,9351,9204,63
叙利亚,136,9302,4432,530
巴哈马,15,7674,6070,163
安道尔,44,7382,6706,79
特立尼达和多巴哥,6,6885,6180,123
斯威士兰,57,6825,6416,130
卢旺达,88,6747,5996,56
刚果（布）,151,6200,4988,100
马拉维,4,6070,5491,187
圭亚那,23,5943,5077,156
尼加拉瓜,0,5887,4225,162
马里,22,5836,3630,201
吉布提,5,5733,5622,61
冰岛,7,5564,5392,28
苏里南,6,5359,5227,117
赤道几内亚,0,5185,5058,85
中非共和国,0,4936,1924,63
索马里,0,4579,3529,121
泰国,9,4246,3949,60
布基纳法索,179,4209,2940,71
冈比亚,3,3782,3647,123
多哥,15,3266,2789,66
贝宁,0,3090,2972,44
塞拉利昂,5,2445,1851,75
几内亚比绍,0,2444,2337,44
尼日尔,64,2322,1294,82
莱索托,27,2277,1340,44
