country,increased,total,cure,dead
中国,116,94489,88056,4753
美国,12793,15383380,8994191,291016
印度,26567,9703770,9178946,140958
巴西,20371,6623911,5897526,177317
俄罗斯,25752,2492713,1963864,43674
法国,3411,2349059,175919,55613
意大利,13679,1742557,933132,60606
英国,14773,1742528,3761,61531
西班牙,6255,1715700,196958,46646
阿根廷,3199,1466309,1300696,39888
哥伦比亚,5997,1377100,1267595,37995
德国,14931,1209481,891357,19576
墨西哥,6399,1182249,873555,110074
波兰,8310,1076180,738845,20592
伊朗,11023,1062397,754224,50917
秘鲁,1224,973912,909389,36274
土耳其,32137,860432,436270,15103
乌克兰,11156,855054,454226,14413
南非,3313,817878,745750,22249
比利时,859,592615,33687,17386
印度尼西亚,5292,586842,483497,18000
荷兰,6204,579901,7342,9857
伊拉克,2123,568138,498064,12477
智利,3152,563534,537727,15680
捷克,4237,551070,484781,9036
罗马尼亚,7439,524675,416797,12660
孟加拉,2202,481945,401194,6906
菲律宾,1386,442785,408790,8670
加拿大,7715,426629,344527,12797
巴基斯坦,2885,423179,370474,8487
摩洛哥,1531,381188,334269,6320
沙特阿拉伯,193,359115,349414,5989
瑞士,4262,358568,279900,5566
以色列,1836,347497,330475,2925
葡萄牙,2905,327976,252428,5122
奥地利,2377,308070,262314,4002
瑞典,18820,297732,4917,7200
匈牙利,2219,256367,75281,6120
约旦,6556,244069,192033,3116
尼泊尔,1382,243377,229054,1637
塞尔维亚,7818,234027,15913,2062
厄瓜多尔,246,198244,174188,13780
哈萨克斯坦,688,180777,152379,2544
巴拿马,1511,179230,154330,3212
阿联酋,1260,178837,160295,596
格鲁吉亚,4673,169649,141392,1576
日本,2144,166545,138838,2334
保加利亚,2764,164185,65616,5010
克罗地亚,2613,154852,130869,2298
阿塞拜疆,4387,154152,93411,1713
白俄罗斯,1649,150602,127528,1222
多米尼加,685,149138,117402,2346
哥斯达黎加,2736,146421,102855,1825
玻利维亚,97,145657,124981,8997
科威特,301,144900,140638,900
亚美尼亚,584,142928,119147,2372
卡塔尔,295,140203,137708,239
黎巴嫩,984,138096,90229,1115
危地马拉,799,126473,115406,4286
阿曼,210,125325,116720,1454
斯洛伐克,1949,119232,87433,1046
埃及,415,118847,103703,6790
摩尔多瓦,1130,117495,101938,2438
希腊,1250,116721,23074,3092
埃塞俄比亚,440,113735,82803,1755
洪都拉斯,684,111707,49781,2950
委内瑞拉,462,104904,99982,924
突尼斯,327,104329,77798,3596
缅甸,1308,101739,80726,2151
巴勒斯坦,1351,101109,75257,867
波黑,1077,96021,60210,3081
丹麦,2154,95331,73572,901
阿尔及利亚,573,88825,57648,2527
巴拉圭,803,88723,62603,1872
肯尼亚,199,88579,69414,1531
巴林,181,88111,86215,341
利比亚,889,87986,57837,1255
斯洛文尼亚,1630,87915,65240,1862
立陶宛,1390,77426,32399,673
吉尔吉斯斯坦,295,75690,67873,1301
马来西亚,1012,75306,64056,388
爱尔兰,222,74468,23364,2099
乌兹别克斯坦,153,74206,71482,611
尼日利亚,390,69645,64947,1181
北马其顿,364,68332,44705,1949
新加坡,12,58285,58168,29
加纳,76,52274,51063,325
阿富汗,200,47716,37920,1906
阿尔巴尼亚,695,43683,22180,922
萨尔瓦多,214,40345,36735,1168
挪威,380,38920,17998,361
韩国,594,38755,29650,552
黑山,316,38562,27651,543
卢森堡,1459,38476,29792,360
斯里兰卡,377,28580,20804,142
芬兰,361,28242,18100,424
澳大利亚,15,27987,25646,908
喀麦隆,0,24752,23344,443
乌干达,701,23200,9374,207
拉脱维亚,584,22104,1866,288
科特迪瓦,22,21507,21150,132
苏丹,279,19747,11184,1301
赞比亚,32,17963,17268,364
马达加斯加,0,17513,16927,255
塞内加尔,43,16596,15864,340
莫桑比克,82,16326,14429,136
安哥拉,57,15648,8353,354
爱沙尼亚,284,15510,9446,137
纳米比亚,141,15219,13949,152
刚果（金）,68,13595,12059,344
几内亚,31,13264,12465,79
马尔代夫,15,13213,12437,47
塞浦路斯,416,12867,2057,63
塔吉克斯坦,42,12511,11926,88
博茨瓦纳,527,12058,9400,36
牙买加,87,11271,7292,265
佛得角,35,11098,10676,109
津巴布韦,121,10839,8972,294
马耳他,40,10699,8641,157
毛里塔尼亚,163,9679,7849,194
海地,29,9399,8148,233
加蓬,24,9278,9132,60
古巴,124,8906,7997,136
叙利亚,87,8490,4000,452
伯利兹,184,7953,3943,176
巴哈马,9,7579,6003,163
乌拉圭,202,7505,5240,83
安道尔,34,7084,6293,78
特立尼达和多巴哥,8,6775,5962,122
斯威士兰,28,6529,6094,123
卢旺达,62,6191,5696,51
马拉维,2,6051,5476,185
尼加拉瓜,0,5838,4225,161
刚果（布）,0,5774,4988,94
吉布提,7,5708,5596,61
圭亚那,32,5697,4779,154
冰岛,10,5506,5292,28
苏里南,1,5325,5214,117
马里,155,5290,3377,175
赤道几内亚,7,5166,5036,85
中非共和国,0,4922,1924,63
索马里,54,4579,3529,121
泰国,19,4126,3874,60
冈比亚,2,3772,3618,123
布基纳法索,103,3315,2721,68
多哥,16,3111,2677,65
贝宁,0,3073,2922,44
几内亚比绍,3,2444,2337,44
塞拉利昂,2,2428,1846,74
也门,46,2383,1554,649
莱索托,0,2150,1278,44
新西兰,6,2085,2006,25
尼日尔,38,1894,1239,78
圣马力诺,11,1800,1438,48
乍得,3,1728,1571,102
利比里亚,0,1676,1358,83
列支敦士登公国,7,1404,1235,19
越南,10,1377,1224,35
蒙古,1,888,384,0
钻石号邮轮,0,712,699,13
布隆迪,4,698,630,1
巴布亚新几内亚,13,684,601,7
厄立特里亚,17,649,517,0
摩纳哥,3,641,577,3
科摩罗,0,616,600,7
毛里求斯,3,511,478,10
坦桑尼亚,0,509,183,21
不丹,2,432,390,0
柬埔寨,2,350,307,0
巴巴多斯,2,287,260,7
圣卢西亚,5,270,165,2
塞舌尔,0,184,168,0
文莱,1,152,147,3
安提瓜和巴布达,0,146,134,4
圣文森特和格林纳丁斯,0,87,80,0
多米尼克,0,85,72,0
斐济,0,44,33,2
格林纳达,2,43,41,0
老挝,2,41,28,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,0,25,21,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
