country,increased,total,cure,dead
中国,119,94142,87824,4753
美国,235272,14772535,8658882,285550
印度,36652,9608211,9058822,139700
巴西,46884,6533968,5825745,175964
俄罗斯,28450,2410462,1899474,42228
法国,11432,2321703,173986,54859
西班牙,5554,1699145,196958,46252
英国,16383,1694806,3648,60714
意大利,24110,1688939,872385,58852
阿根廷,6899,1454631,1281955,39512
哥伦比亚,9285,1352607,1240990,37467
德国,14020,1159665,836708,18619
墨西哥,12127,1156770,852719,108863
波兰,12427,1054273,687910,19861
伊朗,12151,1028986,719708,50016
秘鲁,3785,970860,903958,36195
乌克兰,14157,822985,429455,13877
南非,4932,805804,740450,21963
土耳其,32736,765997,423142,14509
比利时,2582,587439,33687,17142
印度尼西亚,6027,569707,470449,17589
伊拉克,1898,562520,491657,12411
荷兰,6705,559561,7203,9743
智利,3237,557135,533250,15592
捷克,4743,542406,473994,8738
罗马尼亚,8072,508345,399207,12186
孟加拉,1798,475789,393408,6807
菲律宾,1724,438069,399582,8526
巴基斯坦,3119,413191,352529,8303
加拿大,5960,406189,324802,12519
摩洛哥,3996,372620,323814,6136
沙特阿拉伯,190,358526,348562,5954
瑞士,4382,344497,260600,5314
以色列,341,342101,327162,2896
葡萄牙,4935,312553,234038,4803
奥地利,3444,300689,249441,3757
瑞典,6269,278912,4917,7067
匈牙利,5525,243581,70396,5706
尼泊尔,1024,239885,224053,1577
约旦,3116,234353,177195,2960
塞尔维亚,7782,206940,15913,1891
厄瓜多尔,598,196482,169804,13696
哈萨克斯坦,992,178378,150271,2484
阿联酋,1214,175276,158498,589
巴拿马,2388,173607,150051,3154
日本,2472,160859,133287,2218
保加利亚,3614,158807,59677,4650
格鲁吉亚,5450,158154,129210,1462
克罗地亚,4084,147454,120857,2102
多米尼加,671,146680,116169,2343
玻利维亚,139,145325,124390,8987
白俄罗斯,1896,145279,122339,1198
科威特,343,143917,139148,886
哥斯达黎加,1180,143685,95789,1773
阿塞拜疆,4323,142323,85980,1593
亚美尼亚,1267,140959,116066,2309
卡塔尔,140,139783,137060,239
黎巴嫩,1478,134295,86019,1078
危地马拉,752,124805,113273,4224
阿曼,0,124329,115866,1435
埃及,427,117583,103191,6732
斯洛伐克,2070,115462,79956,981
摩尔多瓦,1522,113829,98276,2384
希腊,1648,113185,23074,2804
埃塞俄比亚,512,112091,78619,1734
洪都拉斯,616,109760,48953,2938
委内瑞拉,329,103877,98879,913
突尼斯,2620,101900,75464,3481
缅甸,1527,98047,76382,2081
巴勒斯坦,1422,96098,71236,812
波黑,975,93768,58034,2922
丹麦,2115,89381,70387,878
巴林,168,87600,85710,341
肯尼亚,866,87249,68110,1506
阿尔及利亚,803,86730,56079,2492
巴拉圭,1022,86499,60644,1813
利比亚,680,85529,56048,1219
斯洛文尼亚,3426,84775,62600,1700
吉尔吉斯斯坦,401,74774,66538,1290
乌兹别克斯坦,159,73751,71002,611
爱尔兰,263,73491,23364,2086
立陶宛,2848,72430,30277,611
马来西亚,1123,71359,60204,380
尼日利亚,324,68627,64467,1179
北马其顿,1099,66330,42241,1877
新加坡,13,58255,58152,29
加纳,429,52096,50924,325
阿富汗,235,47072,37393,1864
阿尔巴尼亚,801,41302,20974,870
萨尔瓦多,588,39718,36286,1153
挪威,430,37801,17998,354
黑山,535,37467,26414,522
卢森堡,588,37017,28029,345
韩国,583,36915,28917,540
澳大利亚,7,27956,25636,908
芬兰,460,27218,18100,415
斯里兰卡,1022,27060,20090,130
喀麦隆,265,24752,23344,443
乌干达,286,21898,9117,206
科特迪瓦,23,21412,21054,132
拉脱维亚,794,20787,1866,253
苏丹,661,19196,10942,1290
赞比亚,127,17857,17145,364
马达加斯加,172,17513,16657,255
塞内加尔,100,16397,15731,337
莫桑比克,120,16038,14160,133
安哥拉,132,15493,8299,353
纳米比亚,351,14950,13908,152
爱沙尼亚,561,14500,8919,126
刚果（金）,149,13281,11753,337
几内亚,19,13186,12270,76
马尔代夫,37,13143,12199,47
塔吉克斯坦,81,12389,11796,87
塞浦路斯,289,11812,2057,57
博茨瓦纳,789,11531,8978,34
佛得角,58,10996,10496,108
牙买加,76,10987,6730,260
津巴布韦,123,10547,8802,281
马耳他,103,10423,8289,149
海地,16,9347,8124,233
加蓬,15,9254,9106,60
毛里塔尼亚,176,9181,7812,182
古巴,79,8610,7858,136
叙利亚,86,8233,3811,437
巴哈马,16,7565,5976,163
伯利兹,147,7383,3725,170
安道尔,51,6955,6130,77
特立尼达和多巴哥,10,6735,5884,121
乌拉圭,276,6731,4826,80
斯威士兰,6,6480,6066,122
马拉维,4,6047,5472,185
卢旺达,32,6043,5672,51
尼加拉瓜,0,5838,4225,161
刚果（布）,0,5774,4988,94
吉布提,1,5690,5592,61
圭亚那,73,5601,4695,151
冰岛,14,5476,5253,27
苏里南,2,5322,5205,117
赤道几内亚,3,5159,5023,85
马里,58,4938,3307,163
中非共和国,0,4918,1924,63
索马里,0,4525,3480,121
泰国,19,4072,3848,60
冈比亚,1,3768,3613,123
布基纳法索,29,3091,2687,68
贝宁,0,3055,2907,44
多哥,12,3051,2599,65
几内亚比绍,0,2441,2327,44
塞拉利昂,4,2420,1842,74
也门,28,2267,1534,627
莱索托,5,2150,1278,44
新西兰,9,2078,1994,25
圣马力诺,75,1789,1412,48
尼日尔,86,1726,1237,77
乍得,11,1719,1555,102
利比里亚,13,1676,1358,83
列支敦士登公国,27,1378,1183,17
越南,4,1365,1220,35
蒙古,11,842,368,0
钻石号邮轮,0,712,699,13
布隆迪,3,692,575,1
巴布亚新几内亚,2,671,597,7
厄立特里亚,38,632,508,0
摩纳哥,9,630,571,3
科摩罗,2,615,590,7
坦桑尼亚,0,509,183,21
毛里求斯,0,508,465,10
不丹,6,424,387,0
柬埔寨,10,345,305,0
巴巴多斯,3,284,257,7
圣卢西亚,1,262,141,2
塞舌尔,1,184,168,0
文莱,0,151,146,3
安提瓜和巴布达,0,144,133,4
圣文森特和格林纳丁斯,2,87,80,0
多米尼克,0,85,72,0
斐济,2,44,33,2
格林纳达,0,41,39,0
老挝,0,39,26,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,0,22,19,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
