country,increased,total,cure,dead
中国,132,94738,88290,4755
美国,225441,15820042,9226411,296698
印度,31521,9767371,9253306,141772
巴西,53453,6728452,5966118,178995
俄罗斯,27562,2546113,2015137,44769
法国,14714,2377911,178937,56752
英国,16637,1771555,3779,62663
意大利,12755,1770149,997895,61739
西班牙,4886,1725473,196958,47019
阿根廷,5303,1475222,1311488,40222
哥伦比亚,7523,1392133,1287597,38308
德国,25556,1254825,929324,20489
墨西哥,11974,1205229,889168,111655
波兰,13750,1102096,792119,21630
伊朗,10403,1083023,778167,51496
秘鲁,2709,976621,912501,36401
土耳其,31712,925342,447361,15531
乌克兰,13736,881727,483553,14981
南非,6709,828598,754658,22574
印度尼西亚,6033,598933,491975,18336
比利时,3071,597643,33687,17603
荷兰,8838,595363,7551,9984
伊拉克,1735,569873,501967,12526
智利,1244,564778,539171,15690
捷克,6406,563333,493946,9226
罗马尼亚,7067,539107,434679,12948
孟加拉,1861,485965,410452,6967
菲律宾,1376,445540,409058,8701
加拿大,6272,439142,355401,13009
巴基斯坦,3138,429280,374301,8603
摩洛哥,4096,388184,341685,6427
瑞士,5041,368695,288400,5771
沙特阿拉伯,159,359274,349624,6002
以色列,2555,351579,332645,2937
葡萄牙,4097,332073,254700,5192
奥地利,2686,313688,269665,4163
瑞典,7935,312728,0,7354
匈牙利,5415,265003,77362,6451
约旦,3088,250219,202058,3206
尼泊尔,1217,245650,231601,1663
塞尔维亚,7804,241831,15913,2116
厄瓜多尔,476,199228,174188,13814
巴拿马,1811,182977,156870,3264
哈萨克斯坦,936,182657,154432,2546
阿联酋,1255,181405,161741,602
格鲁吉亚,4570,178953,148332,1657
日本,2975,172376,142850,2392
保加利亚,3328,171493,72078,5283
克罗地亚,4620,163992,136721,2420
阿塞拜疆,4403,158555,99892,1793
白俄罗斯,1939,154392,132085,1238
多米尼加,531,150161,118008,2350
哥斯达黎加,1258,148688,107624,1864
玻利维亚,214,146060,125490,9004
亚美尼亚,1174,145240,121882,2416
科威特,304,145204,140989,905
卡塔尔,163,140516,138033,240
黎巴嫩,1274,140409,94042,1156
危地马拉,654,127127,115931,4311
阿曼,179,125669,117327,1463
斯洛伐克,3125,124921,91455,1104
摩尔多瓦,1766,120970,103973,2481
希腊,1675,119720,23074,3289
埃及,421,119702,104074,6832
埃塞俄比亚,568,114834,87244,1769
洪都拉斯,617,112792,50888,2961
突尼斯,1411,106856,81204,3717
委内瑞拉,468,105852,100952,933
巴勒斯坦,1887,104879,78715,910
缅甸,1427,103166,81715,2174
丹麦,2564,97895,76185,918
波黑,1296,97317,61322,3151
斯洛文尼亚,1847,91922,69170,1949
巴拉圭,725,90146,63891,1901
阿尔及利亚,598,90014,58146,2554
肯尼亚,561,89661,70194,1552
利比亚,661,89183,59222,1273
巴林,201,88495,86518,347
立陶宛,3327,83883,34975,735
马来西亚,2234,78499,66236,396
吉尔吉斯斯坦,379,76391,68894,1306
爱尔兰,218,74900,23364,2102
乌兹别克斯坦,146,74498,71740,611
尼日利亚,474,70669,65242,1184
北马其顿,502,69954,46352,2023
新加坡,6,58297,58182,29
加纳,116,52738,51518,326
阿富汗,202,48053,38099,1935
阿尔巴尼亚,752,45188,23072,951
萨尔瓦多,396,40741,37172,1180
韩国,666,40098,30637,564
黑山,454,39607,28461,556
挪威,362,39525,17998,382
卢森堡,0,38476,29792,360
斯里兰卡,335,30072,22261,144
芬兰,840,29572,20000,442
澳大利亚,7,28000,25664,908
乌干达,1199,25059,9510,219
喀麦隆,211,24963,23344,443
拉脱维亚,890,23706,1866,304
科特迪瓦,34,21547,21176,133
苏丹,384,20468,11673,1319
赞比亚,99,18062,17295,364
马达加斯加,0,17473,16927,255
塞内加尔,101,16766,15950,343
