country,increased,total,cure,dead
中国,117,94606,88156,4754
美国,208121,15591709,9087069,293398
印度,32080,9735850,9215581,141360
巴西,51088,6674999,5965492,178159
俄罗斯,25838,2518551,1989710,44220
法国,14138,2363197,177558,56453
意大利,14837,1757394,958629,61240
英国,12390,1754918,3770,62130
西班牙,6255,1715700,196958,46646
阿根廷,3610,1469919,1305587,40009
哥伦比亚,7510,1384610,1278326,38158
德国,19788,1229269,909058,20082
墨西哥,11006,1193255,881050,110874
波兰,12166,1088346,768241,21160
伊朗,10223,1072620,765639,51212
秘鲁,2709,976621,911113,36401
土耳其,33198,893630,441515,15314
乌克兰,12937,867991,469200,14702
南非,4011,821889,753072,22432
比利时,1957,594572,33687,17507
印度尼西亚,6058,592900,487445,18171
荷兰,6624,586525,7413,9923
伊拉克,1735,569873,499846,12501
智利,1244,564778,539171,15690
捷克,5857,556927,489759,9136
罗马尼亚,7365,532040,425816,12821
孟加拉,2159,484104,405966,6930
菲律宾,1379,444164,408942,8677
加拿大,6114,432743,349629,12887
巴基斯坦,2963,426142,372271,8547
摩洛哥,2900,384088,337719,6370
瑞士,5086,363654,283000,5663
沙特阿拉伯,159,359274,349624,6002
以色列,1527,349024,331285,2933
葡萄牙,2905,327976,252428,5122
奥地利,2932,311002,265815,4056
瑞典,7061,304793,4917,7296
匈牙利,3221,259588,76270,6280
约旦,3062,247131,197058,3162
尼泊尔,1056,244433,230537,1651
塞尔维亚,7804,241831,0,2116
厄瓜多尔,508,198752,174188,13794
哈萨克斯坦,944,181721,153432,2544
巴拿马,1936,181166,155870,3241
阿联酋,1313,180150,161084,598
格鲁吉亚,4734,174383,145287,1614
日本,2856,169401,140466,2367
保加利亚,3980,168165,69028,5156
克罗地亚,4520,159372,133255,2367
阿塞拜疆,4403,158555,96330,1755
白俄罗斯,1851,152453,129950,1230
多米尼加,492,149630,117804,2347
哥斯达黎加,1009,147430,105686,1846
玻利维亚,189,145846,125230,9002
科威特,301,144900,140638,900
亚美尼亚,1138,144066,120532,2393
卡塔尔,150,140353,137881,240
黎巴嫩,1039,139135,93100,1136
危地马拉,799,126473,115406,4286
阿曼,165,125490,117034,1461
斯洛伐克,2564,121796,89769,1084
埃及,434,119281,103913,6813
摩尔多瓦,1709,119204,102565,2460
希腊,1324,118045,23074,3194
埃塞俄比亚,531,114266,84948,1766
洪都拉斯,468,112175,50344,2952
突尼斯,1116,105445,80082,3668
委内瑞拉,480,105384,100476,928
缅甸,1427,103166,81715,2174
巴勒斯坦,1883,102992,76893,890
丹麦,2559,97890,74887,904
波黑,1296,97317,61322,3151
斯洛文尼亚,2160,90075,67437,1900
巴拉圭,698,89421,63243,1887
阿尔及利亚,591,89416,58146,2539
肯尼亚,521,89100,69839,1545
利比亚,536,88522,58578,1261
巴林,183,88294,86348,345
立陶宛,3130,80556,33708,704
马来西亚,959,76265,65124,393
吉尔吉斯斯坦,322,76012,68367,1303
爱尔兰,214,74682,23364,2097
乌兹别克斯坦,146,74352,71609,611
尼日利亚,550,70195,65110,1182
北马其顿,1120,69452,45621,1977
新加坡,6,58291,58176,29
加纳,348,52622,51424,326
阿富汗,135,47851,38032,1919
阿尔巴尼亚,753,44436,22527,936
萨尔瓦多,396,40741,37172,1174
韩国,677,39432,30177,556
挪威,243,39163,17998,361
黑山,591,39153,28052,549
卢森堡,1459,38476,29792,360
斯里兰卡,1157,29737,21800,142
芬兰,490,28732,18100,425
澳大利亚,6,27993,25657,908
喀麦隆,0,24752,23344,443
乌干达,660,23860,9510,207
拉脱维亚,712,22816,1866,293
科特迪瓦,6,21513,21161,132
苏丹,337,20084,11344,1307
赞比亚,32,17963,17268,364
马达加斯加,0,17473,16927,255
塞内加尔,69,16665,15904,341
莫桑比克,47,16373,14437,136
爱沙尼亚,544,16054,9860,139
安哥拉,81,15729,8470,355
纳米比亚,79,15298,14004,153
刚果（金）,155,13750,12059,344
塞浦路斯,419,13286,2057,68
几内亚,19,13283,12515,79
马尔代夫,35,13248,12489,47
塔吉克斯坦,42,12511,11926,88
博茨瓦纳,527,12058,9400,36
牙买加,87,11271,7292,265
佛得角,20,11118,10712,109
津巴布韦,73,10912,9062,303
马耳他,79,10778,8720,160
毛里塔尼亚,197,9876,7904,197
海地,29,9399,8148,233
加蓬,24,9278,9132,60
古巴,76,8982,8047,136
叙利亚,90,8580,4059,458
伯利兹,60,8013,4012,179
乌拉圭,301,7806,5415,86
巴哈马,9,7579,6003,163
安道尔,43,7127,6367,78
特立尼达和多巴哥,7,6782,5996,122
斯威士兰,34,6563,6137,124
卢旺达,46,6237,5715,51
马拉维,0,6051,5482,186
尼加拉瓜,49,5887,4225,162
刚果（布）,0,5774,4988,94
吉布提,9,5717,5599,61
圭亚那,3,5700,4870,154
冰岛,10,5516,5302,28
马里,152,5442,3416,180
苏里南,1,5326,5217,117
赤道几内亚,0,5166,5036,85
中非共和国,5,4927,1924,63
索马里,54,4579,3529,121
泰国,25,4151,3880,60
冈比亚,4,3776,3631,123
布基纳法索,154,3469,2742,69
多哥,21,3132,2691,65
贝宁,17,3090,2972,44
几内亚比绍,3,2444,2337,44
塞拉利昂,2,2428,1847,74
莱索托,14,2164,1283,44
新西兰,3,2088,2008,25
也门,0,2078,1382,606
尼日尔,93,1987,1239,79
圣马力诺,34,1834,1492,49
乍得,1,1729,1573,102
利比里亚,0,1676,1358,83
列支敦士登公国,28,1432,1270,19
越南,4,1381,1225,35
蒙古,5,893,384,0
布隆迪,18,716,630,1
钻石号邮轮,0,712,699,13
巴布亚新几内亚,13,684,601,7
厄立特里亚,17,649,517,0
摩纳哥,7,648,580,3
科摩罗,1,617,605,7
毛里求斯,4,515,478,10
坦桑尼亚,0,509,183,21
不丹,1,433,393,0
柬埔寨,4,354,307,0
巴巴多斯,3,290,264,7
圣卢西亚,5,270,169,2
塞舌尔,0,184,168,0
文莱,1,152,147,3
安提瓜和巴布达,0,146,134,4
