country,increased,total,cure,dead
中国,121,95048,88638,4757
美国,220298,16549366,9644325,305082
印度,30254,9857029,9357464,143019
巴西,43900,6880127,6078287,181123
俄罗斯,27651,2629699,2086887,46404
法国,13947,2405255,181581,57671
英国,21555,1835952,3809,64123
意大利,19902,1825775,1076891,64036
西班牙,7053,1741439,196958,47624
阿根廷,5274,1494602,1330160,40668
哥伦比亚,8163,1417072,1310425,38866
德国,21792,1336101,976469,21921
墨西哥,12057,1241436,911965,113704
波兰,8976,1135676,858895,22864
伊朗,7451,1108269,812270,52196
秘鲁,1832,980943,916335,36544
土耳其,32106,955766,452593,15751
乌克兰,9605,918444,520912,15691
南非,7882,852965,760118,23106
荷兰,9979,623514,7838,10133
印度尼西亚,6189,617820,505836,18819
比利时,2807,605966,33687,17902
捷克,3657,579079,504666,9535
伊拉克,1012,574634,507446,12579
智利,2138,571919,544832,15886
罗马尼亚,4435,556335,457360,13385
孟加拉,1355,490533,420896,7052
加拿大,5984,458527,373898,13367
菲律宾,1069,449400,418687,8733
巴基斯坦,3369,438425,383000,8796
摩洛哥,3033,397597,353098,6589
瑞士,0,373831,291500,5984
沙特阿拉伯,139,359888,350549,6048
以色列,2981,356250,335820,2990
葡萄牙,4413,344700,268453,5461
奥地利,2641,322463,281106,4473
瑞典,0,320098,4917,7514
匈牙利,4153,280400,80752,6965
塞尔维亚,5679,261437,15913,2331
约旦,1816,257275,213344,3335
尼泊尔,830,248423,235731,1698
厄瓜多尔,759,201524,174188,13874
巴拿马,2806,190585,160641,3331
格鲁吉亚,2720,189726,158183,1790
哈萨克斯坦,956,185513,156848,2552
阿联酋,1154,183755,163048,609
日本,2392,180599,149130,2480
保加利亚,1287,178952,81757,5626
克罗地亚,3363,175886,148211,2640
阿塞拜疆,4451,175874,111918,1922
白俄罗斯,1961,160295,138464,1263
多米尼加,1133,153585,119616,2360
哥斯达黎加,1132,150947,112622,1895
亚美尼亚,1013,148325,125169,2486
玻利维亚,333,147030,126092,9014
科威特,429,146218,142094,911
黎巴嫩,1540,145245,98584,1190
卡塔尔,134,140961,138490,240
斯洛伐克,5897,132984,97068,1175
危地马拉,558,129099,117615,4405
阿曼,571,126240,118048,1471
摩尔多瓦,1459,125723,107733,2547
希腊,1194,123842,23074,3540
埃及,478,121089,104710,6898
埃塞俄比亚,515,116297,92449,1803
洪都拉斯,335,114043,51410,2974
突尼斯,1289,110393,84218,3836
丹麦,6197,110305,79918,941
巴勒斯坦,1639,109738,85110,978
缅甸,1127,108342,86795,2268
委内瑞拉,462,107177,102289,949
波黑,1574,101117,65758,3336
斯洛文尼亚,833,96314,73377,2063
立陶宛,2849,93101,38893,815
巴拉圭,800,92913,65852,1937
阿尔及利亚,517,91638,60028,2584
肯尼亚,548,91526,72596,1586
利比亚,899,90779,60895,1299
巴林,145,88965,87025,348
马来西亚,1229,83475,69393,415
吉尔吉斯斯坦,297,77356,70192,1307
爱尔兰,249,75756,23364,2123
乌兹别克斯坦,145,74956,72243,612
北马其顿,981,73025,48726,2096
尼日利亚,617,72757,65850,1194
新加坡,7,58320,58197,29
加纳,195,52933,51676,327
阿富汗,298,48527,38250,1965
阿尔巴尼亚,879,47742,24520,989
韩国,1030,42766,31814,580
萨尔瓦多,231,41394,37667,1200
黑山,402,40948,29614,578
挪威,364,40803,17998,387
卢森堡,718,40755,31678,392
斯里兰卡,643,32650,23793,149
芬兰,360,30810,20000,453
澳大利亚,6,28031,25675,908
乌干达,1163,27532,9826,221
拉脱维亚,629,25675,1866,349
喀麦隆,56,25143,23851,443
科特迪瓦,21,21639,21261,133
苏丹,303,21147,12227,1344
赞比亚,57,18274,17388,367
爱沙尼亚,342,18055,11037,149
马达加斯加,114,17587,16992,259
塞内加尔,14,17075,16094,349
莫桑比克,132,16812,14795,140
纳米比亚,496,16269,14582,160
安哥拉,100,16161,8841,366
塞浦路斯,1151,14800,2057,77
刚果（金）,173,14342,12465,352
几内亚,22,13420,12657,79
马尔代夫,22,13348,12659,48
塔吉克斯坦,80,12704,12133,88
博茨瓦纳,0,12501,9940,37
牙买加,99,11608,7799,271
佛得角,40,11302,10922,110
津巴布韦,57,11219,9359,307
马耳他,52,11153,9169,169
毛里塔尼亚,279,10780,8022,222
海地,26,9491,8241,233
古巴,87,9354,8371,137
加蓬,30,9330,9182,63
乌拉圭,331,9180,6155,91
伯利兹,208,9173,4279,192
叙利亚,130,9041,4319,506
巴哈马,36,7659,6069,163
安道尔,52,7288,6629,78
特立尼达和多巴哥,12,6864,6126,122
斯威士兰,29,6714,6331,127
卢旺达,100,6528,5892,56
马拉维,8,6063,5491,186
刚果（布）,0,6049,4988,99
尼加拉瓜,0,5887,4225,162
圭亚那,40,5879,5044,154
吉布提,8,5725,5612,61
马里,72,5721,3566,189
冰岛,5,5557,5366,28
苏里南,1,5340,5221,117
赤道几内亚,2,5185,5058,85
中非共和国,9,4936,1924,63
索马里,0,4579,3529,121
泰国,17,4209,3923,60
布基纳法索,315,3894,2858,71
冈比亚,0,3779,3645,123
多哥,19,3221,2745,66
贝宁,0,3090,2972,44
几内亚比绍,0,2444,2337,44
塞拉利昂,2,2440,1850,75
莱索托,36,2250,1319,44
尼日尔,39,2199,1276,80
新西兰,4,2096,2015,25
也门,1,2083,1383,606
圣马力诺,24,1932,1575,51
乍得,6,1751,1603,102
利比里亚,0,1676,1358,83
列支敦士登公国,32,1514,1296,20
越南,2,1397,1241,35
蒙古,1,907,384,0
布隆迪,5,728,640,1
巴布亚新几内亚,36,720,601,8
钻石号邮轮,0,712,699,13
厄立特里亚,55,711,564,0
摩纳哥,9,668,596,3
科摩罗,11,628,606,7
